name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,snapshot_date
Corsair Dominator Platinum RGB 32 GB,154.99,"4, 3200","4, 8",4.843,White,10.0,16.0,2023-09-12
GeIL Orion AMD Edition 32 GB,57.99,"4, 3200","2, 16",1.812,Gray,10.0,16.0,2023-09-12
TEAMGROUP Elite 4 GB,49.03,"4, 2400","1, 4",12.258,Black,13.333,16.0,2023-09-12
Corsair Vengeance LPX 8 GB,33.14,"4, 2666","2, 4",4.143,Red,11.253,15.0,2023-09-12
Corsair Vengeance Performance 32 GB,54.99,"4, 2666","2, 16",1.718,Black / Yellow,13.503,18.0,2023-09-12
Corsair Vengeance 32 GB,104.99,"5, 5200","2, 16",3.281,White / Gray,14.615,38.0,2023-09-12
Corsair Vengeance RGB RT 128 GB,314.99,"4, 3600","4, 32",2.461,Black,10.0,18.0,2023-09-12
TEAMGROUP Elite 16 GB,27.99,"4, 2666","1, 16",1.749,Black,14.254,19.0,2023-09-12
Corsair Dominator Platinum RGB 32 GB,124.99,"4, 3600","2, 16",3.906,Black,10.0,18.0,2023-09-12
Corsair Vengeance 48 GB,144.99,"5, 5200","2, 24",3.021,Black,14.615,38.0,2023-09-12
Corsair Vengeance LPX 16 GB,85.61,"4, 3600","2, 8",5.351,Black / Yellow,11.111,20.0,2023-09-12
Corsair Vengeance RGB RT 32 GB,119.99,"4, 3200","4, 8",3.75,White / Black,10.0,16.0,2023-09-12
G.Skill Trident Z RGB 64 GB,219.75,"4, 2400","8, 8",3.434,,12.5,15.0,2023-09-12
TEAMGROUP T-Force Xtreem ARGB 64 GB,189.99,"4, 3200","2, 32",2.969,White,10.0,16.0,2023-09-12
G.Skill Ripjaws V 16 GB,98.69,"4, 3200","2, 8",6.168,Red,8.75,14.0,2023-09-12
Samsung M393A4K40CB1-CRC 32 GB,43.25,"4, 2400","1, 32",1.352,Green / Black,14.167,17.0,2023-09-12
TEAMGROUP T-Force Dark Z 16 GB,218.99,"4, 3600","2, 8",13.687,Silver,10.0,18.0,2023-09-12
Corsair Vengeance RGB Pro 32 GB,174.99,"4, 2666","4, 8",5.468,Black,12.003,16.0,2023-09-12
Corsair Vengeance RGB Pro 16 GB,59.99,"4, 2933","2, 8",3.749,Black,10.91,16.0,2023-09-12
Corsair Dominator Platinum RGB 16 GB,74.86,"4, 3600","2, 8",4.679,Black,10.0,18.0,2023-09-12
Crucial CT12864AA667 1 GB,19.2,"2, 667","1, 1",19.2,Green,14.993,5.0,2023-09-12
Crucial CT51264BA1339 4 GB,19.0,"3, 1333","1, 4",4.75,Black / Green,13.503,9.0,2023-09-12
G.Skill NS 2 GB,10.87,"3, 1333","1, 2",5.435,Green,13.503,9.0,2023-09-12
Kingston KVR1333D3K2/2GR 2 GB,29.85,"3, 1333","2, 1",14.925,Green,13.503,9.0,2023-09-12
OLOy MD4U083016BHDA 16 GB,32.99,"4, 3000","2, 8",2.062,Red,10.667,16.0,2023-09-12
G.Skill Ripjaws X 4 GB,23.78,"3, 1600","1, 4",5.945,,11.25,9.0,2023-09-12
Kingston Fury Renegade RGB 64 GB,185.16,"4, 3600","2, 32",2.893,Black / Silver,10.0,18.0,2023-09-12
Mushkin Proline 8 GB,23.28,"3, 1600","1, 8",2.91,Black / Green,13.75,11.0,2023-09-12
Crucial CT2KIT25664AA667 4 GB,39.99,"2, 667","2, 2",9.998,Green,14.993,5.0,2023-09-12
Kingston KVR16R11D4K4/64 64 GB,137.53,"3, 1600","4, 16",2.149,Green,13.75,11.0,2023-09-12
TEAMGROUP T-Force Delta RGB 16 GB,99.99,"4, 3600","2, 8",6.249,White,7.778,14.0,2023-09-12
Corsair Dominator Platinum RGB 64 GB,204.99,"4, 3200","2, 32",3.203,Black,10.0,16.0,2023-09-12
G.Skill NS 4 GB,16.71,"3, 1333","2, 2",4.178,Green,13.503,9.0,2023-09-12
OLOy WarHawk RGB 8 GB,26.99,"4, 3600","1, 8",3.374,Black / Silver,10.0,18.0,2023-09-12
Patriot Signature 4 GB,10.99,"3, 1333","1, 4",2.748,Green,13.503,9.0,2023-09-12
Corsair Vengeance LPX 16 GB,125.0,"4, 3200","2, 8",7.812,Black,10.0,16.0,2023-09-12
Corsair Vengeance RGB RS 32 GB,159.99,"4, 3200","4, 8",5.0,Black / Gray,10.0,16.0,2023-09-12
Kingston FURY Renegade 16 GB,357.57,"4, 5133","2, 8",22.348,Black,7.793,20.0,2023-09-12
Timetec PINNACLE Konduit 8 GB,19.99,"4, 3200","1, 8",2.499,Black,10.0,16.0,2023-09-12
Crucial CT16G4DFRA266 16 GB,46.99,"4, 2666","1, 16",2.9370000000000003,Green,14.254,19.0,2023-09-12
Crucial CT2K8G4DFRA266 16 GB,54.5,"4, 2666","2, 8",3.406,Green,14.254,19.0,2023-09-12
Kingston ValueRAM 1 GB,30.36,"2, 800","1, 1",30.36,Green,12.5,5.0,2023-09-12
G.Skill Aegis 16 GB,114.0,"3, 1600","2, 8",7.125,,13.75,11.0,2023-09-12
Kingston FURY Renegade 128 GB,326.17,"4, 3200","4, 32",2.548,Black,10.0,16.0,2023-09-12
G.Skill Trident Z RGB 16 GB,224.99,"4, 4600","2, 8",14.062,Black,7.826,18.0,2023-09-12
Kingston Fury Renegade RGB 64 GB,214.0,"4, 3600","4, 16",3.344,Black / Silver,8.889,16.0,2023-09-12
Silicon Power SP032GBSVU480F22 32 GB,70.97,"5, 4800","2, 16",2.218,,16.667,40.0,2023-09-12
G.Skill Flare X 16 GB,40.54,"4, 2400","2, 8",2.534,Black,12.5,15.0,2023-09-12
Corsair Vengeance LPX 32 GB,69.98,"4, 2666","2, 16",2.187,Red,12.003,16.0,2023-09-12
G.Skill Trident Z5 RGB 32 GB,121.59,"5, 6000","2, 16",3.8,Black,13.333,40.0,2023-09-12
G.Skill Trident Z 32 GB,89.99,"5, 5600","2, 16",2.8120000000000003,Black,12.857,36.0,2023-09-12
Thermaltake TOUGHRAM XG RGB 64 GB,549.99,"4, 4000","2, 32",8.594,White / Silver,9.5,19.0,2023-09-12
Corsair Vengeance 32 GB,94.99,"5, 4800","2, 16",2.968,Black / White,16.667,40.0,2023-09-12
Corsair Dominator Platinum RGB 32 GB,343.96,"4, 4000","2, 16",10.749,Black,8.0,16.0,2023-09-12
TEAMGROUP T-Force Vulcan 32 GB,83.99,"5, 5600","2, 16",2.625,Red,12.857,36.0,2023-09-12
G.Skill Ripjaws V 32 GB,209.23,"4, 4400","2, 16",6.538,Black,7.727,17.0,2023-09-12
HP 647901-B21 16 GB,26.5,"3, 1333","1, 16",1.656,Black / Green,13.503,9.0,2023-09-12
PROXMEM KERBEROS TUF 32 GB,109.99,"5, 5600","2, 16",3.437,Black / Silver,10.0,28.0,2023-09-12
Mushkin Enhanced Redline Stiletto 32 GB,62.98,"4, 3200","2, 16",1.968,Black,10.0,16.0,2023-09-12
TEAMGROUP Elite Plus 16 GB,45.99,"5, 5600","1, 16",2.874,Silver,14.286,40.0,2023-09-12
Patriot Signature Line 32 GB,95.01,"4, 3200","1, 32",2.969,,13.75,22.0,2023-09-12
Corsair Vengeance RGB RT 16 GB,64.98,"4, 3600","2, 8",4.061,Black,10.0,18.0,2023-09-12
G.Skill Trident Z Royal Elite 16 GB,226.59,"4, 4800","2, 8",14.162,Silver,8.333,20.0,2023-09-12
Kingston FURY Renegade 256 GB,626.58,"4, 3200","8, 32",2.448,Black,10.0,16.0,2023-09-12
G.Skill Aegis 8 GB,19.99,"4, 2666","1, 8",2.499,Red / Black,14.254,19.0,2023-09-12
Corsair Vengeance LPX 32 GB,64.98,"4, 2666","1, 32",2.031,Black / Yellow,12.003,16.0,2023-09-12
Crucial Ballistix 2 GB,38.99,"2, 800","2, 1",19.495,Yellow,10.0,4.0,2023-09-12
Kingston KVR1333D3S8N9/2G 2 GB,17.39,"3, 1333","1, 2",8.695,Green,13.503,9.0,2023-09-12
G.Skill Trident Z Royal 32 GB,179.99,"4, 3600","2, 16",5.625,Silver,8.889,16.0,2023-09-12
G.Skill Trident Z Neo 16 GB,102.49,"4, 3600","2, 8",6.406,Silver / Black,8.889,16.0,2023-09-12
TEAMGROUP T-Force Delta RGB 32 GB,199.99,"4, 3600","2, 16",6.25,White,7.778,14.0,2023-09-12
Kingston FURY Renegade 8 GB,39.13,"4, 4000","1, 8",4.891,Black,9.5,19.0,2023-09-12
Kingston Server Premier 16 GB,47.16,"4, 3200","1, 16",2.947,,13.75,22.0,2023-09-12
Patriot Viper Steel 16 GB,213.0,"4, 4133","2, 8",13.312,Silver / Black,9.194,19.0,2023-09-12
Kingston Fury Renegade RGB 64 GB,289.81,"4, 3200","4, 16",4.5280000000000005,Black / Silver,10.0,16.0,2023-09-12
Kingston KVR16E11K4/32 32 GB,128.99,"3, 1600","4, 8",4.031,Green,13.75,11.0,2023-09-12
Corsair Vengeance LPX 16 GB,59.99,"4, 2666","2, 8",3.749,Red,12.003,16.0,2023-09-12
G.Skill Ripjaws V 8 GB,49.0,"4, 2800","1, 8",6.125,Red,10.714,15.0,2023-09-12
G.Skill NS 16 GB,35.77,"4, 2400","2, 8",2.236,Black,12.5,15.0,2023-09-12
Kingston FURY Renegade 16 GB,106.36,"5, 6800","1, 16",6.647,White / Silver,10.588,36.0,2023-09-12
Kingston HyperX Fury 8 GB,64.97,"3, 1866","1, 8",8.121,White / Silver,10.718,10.0,2023-09-12
Corsair Vengeance RGB RS 32 GB,179.99,"4, 3600","4, 8",5.625,Black,10.0,18.0,2023-09-12
Lexar Hades RGB 32 GB,110.0,"4, 3600","2, 16",3.438,Black,10.0,18.0,2023-09-12
Silicon Power SP008GBLFU213B02 8 GB,15.66,"4, 2133","1, 8",1.958,,14.065,15.0,2023-09-12
Corsair Vengeance RGB Pro SL 16 GB,94.99,"4, 4000","2, 8",5.937,Black,9.0,18.0,2023-09-12
Timetec PINNACLE Konduit RGB 16 GB,52.99,"4, 3200","2, 8",3.312,White,10.0,16.0,2023-09-12
PROXMEM KERBEROS TUF 32 GB,119.99,"5, 6000","2, 16",3.75,Black / Silver,10.0,30.0,2023-09-12
G.Skill Ripjaws V 16 GB,94.99,"4, 4000","2, 8",5.937,Black,8.0,16.0,2023-09-12
G.Skill Trident Z Neo 64 GB,354.19,"4, 3600","4, 16",5.534,Silver / Black,8.889,16.0,2023-09-12
G.Skill Trident Z Royal 64 GB,149.99,"4, 3600","2, 32",2.344,Gold,10.0,18.0,2023-09-12
Mushkin Redline Lumina 16 GB,58.21,"4, 3600","2, 8",3.638,White,8.889,16.0,2023-09-12
G.Skill Ripjaws Z 16 GB,59.6,"3, 2133","4, 4",3.725,,9.376,10.0,2023-09-12
TEAMGROUP T-Force Xtreem ARGB 16 GB,69.99,"4, 3200","2, 8",4.374,White,10.0,16.0,2023-09-12
Corsair Vengeance 48 GB,164.99,"5, 6400","2, 24",3.437,Black / Gray,11.25,36.0,2023-09-12
Corsair Vengeance LP 16 GB,79.95,"3, 1600","2, 8",4.997,Black / Yellow,11.25,9.0,2023-09-12
Kingston FURY Beast RGB 32 GB,121.5,"5, 5600","1, 32",3.797,Black,12.857,36.0,2023-09-12
Corsair Vengeance RGB Pro 64 GB,734.8,"4, 2666","4, 16",11.481,Black,12.003,16.0,2023-09-12
Mushkin Proline 8 GB,24.51,"4, 2400","1, 8",3.064,,14.167,17.0,2023-09-12
Corsair Vengeance Performance 16 GB,39.99,"4, 2400","2, 8",2.499,Black,13.333,16.0,2023-09-12
G.Skill Ripjaws 32 GB,76.88,"4, 2400","4, 8",2.402,Blue,12.5,15.0,2023-09-12
Mushkin Essentials 64 GB,94.28,"4, 2666","2, 32",1.473,Green / Black,14.254,19.0,2023-09-12
Corsair Vengeance RGB Pro SL 64 GB,149.99,"4, 3200","2, 32",2.344,Black,10.0,16.0,2023-09-12
OLOy WarHawk RGB 32 GB,125.99,"4, 3600","2, 16",3.937,Black / Silver,10.0,18.0,2023-09-12
Thermaltake TOUGHRAM RC 16 GB,125.99,"4, 3200","2, 8",7.874,Black,10.0,16.0,2023-09-12
Corsair Vengeance RGB RT 16 GB,59.99,"4, 3200","2, 8",3.749,White / Black,10.0,16.0,2023-09-12
Kingston Fury Renegade RGB 256 GB,679.17,"4, 3200","8, 32",2.653,Black / Silver,10.0,16.0,2023-09-12
G.Skill Trident Z5 RGB 32 GB,381.68,"5, 5200","2, 16",11.928,White / Black,15.385,40.0,2023-09-12
Kingston KHX2133C11D3W1K2/8GX 8 GB,300.0,"3, 2133","2, 4",37.5,Black / Silver,10.314,11.0,2023-09-12
Mushkin Redline Lumina 64 GB,158.38,"4, 3600","2, 32",2.475,White,8.889,16.0,2023-09-12
Kingston ValueRAM 1 GB,12.0,"2, 667","1, 1",12.0,Green,14.993,5.0,2023-09-12
TEAMGROUP Elite 16 GB,26.99,"4, 3200","1, 16",1.687,Black,13.75,22.0,2023-09-12
G.Skill Trident Z RGB 16 GB,75.98,"4, 3600","2, 8",4.749,Black,9.444,17.0,2023-09-12
TEAMGROUP T-Force Delta RGB 64 GB,122.99,"4, 3200","2, 32",1.922,Black,10.0,16.0,2023-09-12
Corsair XMS3 16 GB,79.99,"3, 1600","2, 8",4.999,Black / Silver,11.25,9.0,2023-09-12
Corsair Vengeance LPX 32 GB,277.27,"4, 3600","4, 8",8.665,Black / Yellow,10.0,18.0,2023-09-12
Corsair Vengeance RGB Pro 16 GB,56.82,"4, 3200","2, 8",3.551,Black,10.0,16.0,2023-09-12
Corsair Dominator Platinum RGB 16 GB,114.99,"4, 4000","2, 8",7.187,Black,9.0,18.0,2023-09-12
GeIL EVO V RGB 32 GB,270.99,"5, 8000","2, 16",8.468,White,9.5,38.0,2023-09-12
G.Skill Trident Z Neo 64 GB,467.51,"4, 3600","4, 16",7.305,Black / White,7.778,14.0,2023-09-12
Corsair Vengeance LPX 16 GB,252.12,"4, 3200","4, 4",15.758,Black / Yellow,10.0,16.0,2023-09-12
Kingston Fury Renegade RGB 32 GB,224.22,"5, 6800","2, 16",7.007,Silver / Black,10.588,36.0,2023-09-12
G.Skill Trident Z Royal 32 GB,308.25,"4, 4000","4, 8",9.633,Silver,7.5,15.0,2023-09-12
Corsair CMV8GX3M2A1333C9 8 GB,43.75,"3, 1333","2, 4",5.469,Green,13.503,9.0,2023-09-12
Corsair CMSO4GX3M1C1600C11 4 GB,24.99,"3, 1600","1, 4",6.247,Green,11.25,9.0,2023-09-12
Corsair CMSO8GX3M1C1333C9 8 GB,39.99,"3, 1333","1, 8",4.999,Green,13.503,9.0,2023-09-12
Patriot Viper SODIMM 8 GB,53.0,"3, 1600","2, 4",6.625,Black / Silver,11.25,9.0,2023-09-12
G.Skill FA-8500CL7D-8GBSQ 8 GB,24.24,"3, 1066","2, 4",3.03,Black / Green,13.133,7.0,2023-09-12
Kingston ValueRAM 48 GB,399.81,"3, 1600","3, 16",8.329,Black / Green,13.75,11.0,2023-09-12
Kingston KTD-PE421/8G 8 GB,32.89,"4, 2133","1, 8",4.111,Green,14.065,15.0,2023-09-12
Kingston ValueRAM 64 GB,139.0,"3, 1600","4, 16",2.172,Green,13.75,11.0,2023-09-12
Kingston KVR16R11D4/8 8 GB,28.99,"3, 1600","1, 8",3.624,Green,13.75,11.0,2023-09-12
Kingston KVR16LE11S8/4KF 4 GB,32.58,"3, 1600","1, 4",8.145,Green,13.75,11.0,2023-09-12
Kingston KVR1333D3D4R9SK2/16G 16 GB,74.5,"3, 1333","2, 8",4.656,Green,13.503,9.0,2023-09-12
Kingston KVR1333D3D4R9SK3/24G 24 GB,124.99,"3, 1333","3, 8",5.208,Green,13.503,9.0,2023-09-12
Kingston KVR13LR9D4/16 16 GB,73.73,"3, 1333","1, 16",4.608,Green,13.503,9.0,2023-09-12
Kingston KVR13R9D4/16 16 GB,39.0,"3, 1333","1, 16",2.438,Green,13.503,9.0,2023-09-12
Mushkin Proline 16 GB,28.68,"3, 1333","1, 16",1.792,Green,13.503,9.0,2023-09-12
Kingston KVR21S15S8/4 4 GB,12.0,"4, 2133","1, 4",3.0,Black / Silver,14.065,15.0,2023-09-12
Mushkin Essentials 8 GB,23.28,"4, 2133","2, 4",2.91,Green,14.065,15.0,2023-09-12
Kingston KCP316SD8/8 8 GB,24.18,"3, 1600","1, 8",3.022,Black / Green,13.75,11.0,2023-09-12
Kingston KCP424SS6/4 4 GB,14.45,"4, 2400","1, 4",3.612,Green / Black,14.167,17.0,2023-09-12
Kingston KVR26S19S8/8 8 GB,19.94,"4, 2666","1, 8",2.493,Green / Black,14.254,19.0,2023-09-12
Corsair CMSO4GX3M1A1600C11 4 GB,24.44,"3, 1600","1, 4",6.11,Green,11.25,9.0,2023-09-12
Patriot Viper 3 8 GB,85.0,"3, 1866","2, 4",10.625,,9.646,9.0,2023-09-12
Crucial CT2K4G3S1067M 8 GB,62.65,"3, 1066","2, 4",7.831,Green,13.133,7.0,2023-09-12
Kingston KVR13N9S8/4 4 GB,28.31,"3, 1333","1, 4",7.077,Green,13.503,9.0,2023-09-12
Corsair ValueSelect 16 GB,39.99,"4, 2133","1, 16",2.499,Black,14.065,15.0,2023-09-12
G.Skill Ripjaws 32 GB,79.99,"4, 3000","2, 16",2.5,Black / Blue,10.667,16.0,2023-09-12
Mushkin Enhanced Redline Stiletto 16 GB,49.99,"4, 4133","2, 8",3.124,Black,9.194,19.0,2023-09-12
Mushkin 976647A 8 GB,21.12,"3, 1333","2, 4",2.64,Black / Green,13.503,9.0,2023-09-12
Kingston KCP424SD8/16 16 GB,31.98,"4, 2400","1, 16",1.999,Green / Black,14.167,17.0,2023-09-12
G.Skill Ripjaws 8 GB,29.99,"4, 3200","1, 8",3.749,Black / Blue,11.25,18.0,2023-09-12
Mushkin Essentials 8 GB,21.12,"3, 1600","2, 4",2.64,Green,13.75,11.0,2023-09-12
Patriot Viper 3 16 GB,147.44,"3, 1866","4, 4",9.215,Black / Silver,9.646,9.0,2023-09-12
Crucial CT2KIT51264BF160BJ 8 GB,53.99,"3, 1600","2, 4",6.749,Black / Green,13.75,11.0,2023-09-12
Kingston KSM26RS8/8MEI 8 GB,38.9,"4, 2666","1, 8",4.862,Green / Black,14.254,19.0,2023-09-12
Kingston ValueRAM 16 GB,38.99,"3, 1600","1, 16",2.437,Green,13.75,11.0,2023-09-12
Crucial CT16G4XFD8266 16 GB,139.99,"4, 2666","1, 16",8.749,Green / Black,14.254,19.0,2023-09-12
Kingston ValueRAM 32 GB,67.77,"4, 3200","1, 32",2.118,,13.75,22.0,2023-09-12
Mushkin Redline 64 GB,119.82,"4, 2933","2, 32",1.872,,11.592,17.0,2023-09-12
Mushkin Proline 16 GB,44.11,"4, 2933","1, 16",2.757,,14.32,21.0,2023-09-12
GeIL ORION V RGB 32 GB,108.98,"5, 6400","2, 16",3.406,Black,11.875,38.0,2023-09-12
G.Skill ECO 4 GB,29.99,"3, 1600","2, 2",7.497,Silver,11.25,9.0,2023-09-12
Patriot Viper Xtreme 8 GB,105.0,"3, 1866","2, 4",13.125,Black / Silver,9.646,9.0,2023-09-12
Crucial CT2KIT12864AC800 2 GB,25.88,"2, 800","2, 1",12.94,Green,15.0,6.0,2023-09-12
Mushkin Essentials 4 GB,28.68,"2, 800","2, 2",7.17,Green,12.5,5.0,2023-09-12
Kingston Impact 16 GB,249.99,"4, 2133","2, 8",15.624,Black / Silver,12.189,13.0,2023-09-12
Kingston ValueRAM 8 GB,22.0,"4, 3200","1, 8",2.75,,13.75,22.0,2023-09-12
Kingston KCP426SS6/4 4 GB,20.66,"4, 2666","1, 4",5.165,Green / Black,12.753,17.0,2023-09-12
Kingston Server Premier 16 GB,47.57,"4, 2666","1, 16",2.973,,14.254,19.0,2023-09-12
Crucial CT51264BC1067 4 GB,19.95,"3, 1066","1, 4",4.987,Green,13.133,7.0,2023-09-12
Crucial CT25664AC800 2 GB,13.0,"2, 800","1, 2",6.5,Green,15.0,6.0,2023-09-12
G.Skill F2-6400CL5S-2GBSQ 2 GB,25.25,"2, 800","1, 2",12.625,Green,12.5,5.0,2023-09-12
Kingston KVR1333D3S9/4G 4 GB,26.98,"3, 1333","1, 4",6.745,Green,13.503,9.0,2023-09-12
Kingston KVR667D2SO/2GR 2 GB,22.5,"2, 667","1, 2",11.25,Green,14.993,5.0,2023-09-12
Kingston KVR800D2S5/2G 2 GB,18.98,"2, 800","1, 2",9.49,Green,12.5,5.0,2023-09-12
Kingston KVR1066D3S7/4G 4 GB,45.0,"3, 1066","1, 4",11.25,Green,13.133,7.0,2023-09-12
Kingston KVR667D2S5/1G 1 GB,9.77,"2, 667","1, 1",9.77,Green,14.993,5.0,2023-09-12
Kingston ValueRAM 2 GB,29.96,"2, 667","2, 1",14.98,Green,14.993,5.0,2023-09-12
Kingston KVR667D2S5/2G 2 GB,45.47,"2, 667","1, 2",22.735,Green,14.993,5.0,2023-09-12
Kingston ValueRAM 1 GB,24.95,"2, 533","1, 1",24.95,Green,15.009,4.0,2023-09-12
Kingston KVR800D2S6K2/2G 2 GB,26.0,"2, 800","2, 1",13.0,Green,15.0,6.0,2023-09-12
Kingston KVR800D2S6/1G 1 GB,14.99,"2, 800","1, 1",14.99,Green,15.0,6.0,2023-09-12
Kingston KVR533D2SO/1GR 1 GB,15.0,"2, 533","1, 1",15.0,Green,15.009,4.0,2023-09-12
Kingston KHX5300S2LLK2/2G 2 GB,44.99,"2, 667","2, 1",22.495,Blue / Silver,11.994,4.0,2023-09-12
Mushkin Essentials 4 GB,13.38,"3, 1066","1, 4",3.345,Green,13.133,7.0,2023-09-12
Mushkin Essentials 4 GB,28.68,"2, 667","2, 2",7.17,Green,14.993,5.0,2023-09-12
Patriot Signature 8 GB,49.42,"3, 1600","2, 4",6.178,Green,13.75,11.0,2023-09-12
Mushkin Essentials 8 GB,134.44,"2, 667","2, 4",16.805,Green,14.993,5.0,2023-09-12
Crucial CT2KIT25664AC667 4 GB,34.99,"2, 667","2, 2",8.748,Green,14.993,5.0,2023-09-12
Crucial CT2KIT25664AC800 4 GB,28.99,"2, 800","2, 2",7.247,Green,15.0,6.0,2023-09-12
Crucial CT25664AC667 2 GB,19.98,"2, 667","1, 2",9.99,Green,14.993,5.0,2023-09-12
Crucial CT51264AC667 4 GB,79.47,"2, 667","1, 4",19.867,Green,14.993,5.0,2023-09-12
Kingston Server Premier 8 GB,33.4,"4, 2666","1, 8",4.175,,14.254,19.0,2023-09-12
Kingston Server Premier 8 GB,65.2,"4, 2933","1, 8",8.15,,14.32,21.0,2023-09-12
Kingston Server Premier 16 GB,96.99,"4, 2933","1, 16",6.062,,14.32,21.0,2023-09-12
Kingston ValueRAM 32 GB,69.77,"4, 2666","1, 32",2.18,,14.254,19.0,2023-09-12
Silicon Power SP008GBSFU240B02 8 GB,43.63,"4, 2400","1, 8",5.454,,14.167,17.0,2023-09-12
Thermaltake TOUGHRAM XG RGB 32 GB,309.99,"4, 4000","2, 16",9.687,White / Silver,9.5,19.0,2023-09-12
Kingston FURY Impact 16 GB,37.99,"4, 2666","1, 16",2.374,Black,12.003,16.0,2023-09-12
PROXMEM KERBEROS 16 GB,49.99,"4, 3600","2, 8",3.124,Black / Silver,10.0,18.0,2023-09-12
GeIL ORION V 32 GB,107.99,"5, 6400","2, 16",3.375,Black,11.875,38.0,2023-09-12
G.Skill Trident Z Royal 16 GB,317.12,"4, 4400","2, 8",19.82,Gold,7.727,17.0,2023-09-12
Crucial CT12864AC800 1 GB,19.98,"2, 800","1, 1",19.98,Green,15.0,6.0,2023-09-12
Patriot Gamer 6 GB,82.73,"3, 1600","3, 2",13.788,Black / Green,11.25,9.0,2023-09-12
Kingston HyperX Blu 2 GB,19.98,"3, 1333","1, 2",9.99,Blue / Silver,13.503,9.0,2023-09-12
G.Skill Ripjaws 4 GB,59.99,"3, 1333","2, 2",14.998,Black / Red,13.503,9.0,2023-09-12
G.Skill Ripjaws X 4 GB,49.99,"3, 1333","2, 2",12.498,Black / Red,13.503,9.0,2023-09-12
ADATA Supreme 4 GB,59.98,"3, 1333","1, 4",14.995,Green,13.503,9.0,2023-09-12
ADATA AD2S800B2G5-R 2 GB,16.45,"2, 800","1, 2",8.225,Green,12.5,5.0,2023-09-12
Corsair CMSO4GX3M1A1333C9 4 GB,24.99,"3, 1333","1, 4",6.247,Green,13.503,9.0,2023-09-12
Corsair VS1GSDS533D2 1 GB,34.72,"2, 533","1, 1",34.72,Green,15.009,4.0,2023-09-12
Corsair VS2GSDS667D2 2 GB,49.99,"2, 667","1, 2",24.995,Green,14.993,5.0,2023-09-12
Kingston ValueRAM 1 GB,40.01,"2, 533","1, 1",40.01,Green,15.009,4.0,2023-09-12
G.Skill Ripjaws 16 GB,45.99,"4, 3000","2, 8",2.874,Black / Blue,10.667,16.0,2023-09-12
Mushkin Essentials 32 GB,50.99,"4, 2133","2, 16",1.593,Black / Green,14.065,15.0,2023-09-12
TEAMGROUP T-Create Classic 32 GB,47.99,"4, 3200","1, 32",1.5,Silver / Black,13.75,22.0,2023-09-12
Mushkin Essentials 2 GB,11.63,"3, 1333","1, 2",5.815,Green,13.503,9.0,2023-09-12
Mushkin Essentials 4 GB,13.38,"3, 1600","1, 4",3.345,Green,13.75,11.0,2023-09-12
Mushkin Essentials 8 GB,15.72,"3, 1333","1, 8",1.965,Green,13.503,9.0,2023-09-12
Mushkin Essentials 2 GB,11.63,"3, 1600","1, 2",5.815,Green,13.75,11.0,2023-09-12
G.Skill Ares 16 GB,87.67,"3, 2133","4, 4",5.479,Black / Blue,8.439,9.0,2023-09-12
G.Skill F3-1333C9S-8GSA 8 GB,62.0,"3, 1333","1, 8",7.75,Green,13.503,9.0,2023-09-12
Kingston KVR13N9S8H/4 4 GB,34.65,"3, 1333","1, 4",8.662,,13.503,9.0,2023-09-12
Kingston Blu Red 8 GB,89.98,"3, 1333","2, 4",11.248,Red / Silver,13.503,9.0,2023-09-12
Mushkin Essentials 8 GB,134.44,"2, 800","2, 4",16.805,Green,15.0,6.0,2023-09-12
G.Skill NS 4 GB,44.0,"3, 1333","1, 4",11.0,Black,13.503,9.0,2023-09-12
Kingston KVR13N9S8K2/8 8 GB,49.99,"3, 1333","2, 4",6.249,Green,13.503,9.0,2023-09-12
Crucial Ballistix Sport 8 GB,59.9,"3, 1600","2, 4",7.487,,11.25,9.0,2023-09-12
OCZ OCZ2M8004GK 4 GB,59.0,"2, 800","2, 2",14.75,Green,12.5,5.0,2023-09-12
G.Skill FA-8500CL7S-4GBSQ 4 GB,39.99,"3, 1066","1, 4",9.998,Black / Green,13.133,7.0,2023-09-12
Crucial CT8G3ERSLD8160B 8 GB,34.99,"3, 1600","1, 8",4.374,Green,13.75,11.0,2023-09-12
Crucial CT8G3ERSLQ81067 8 GB,48.99,"3, 1066","1, 8",6.124,Green,13.133,7.0,2023-09-12
Kingston KVR16R11S4/8 8 GB,48.71,"3, 1600","1, 8",6.089,Green,13.75,11.0,2023-09-12
Kingston KVR16LSE11/8 8 GB,59.99,"3, 1600","1, 8",7.499,Green,13.75,11.0,2023-09-12
Kingston KVR16LE11S8/4I 4 GB,28.99,"3, 1600","1, 4",7.247,Green,13.75,11.0,2023-09-12
Kingston Value 1 GB,22.99,"2, 400","1, 1",22.99,Green,15.0,3.0,2023-09-12
Kingston ValueRAM 2 GB,40.99,"3, 1333","1, 2",20.495,Green,13.503,9.0,2023-09-12
G.Skill F3-10666CL9S-4GBSQ 4 GB,12.72,"3, 1333","1, 4",3.18,Green,13.503,9.0,2023-09-12
Crucial CT25664BA1339 2 GB,14.99,"3, 1333","1, 2",7.495,Green,13.503,9.0,2023-09-12
Samsung M393B2G70BH0-YH9 16 GB,28.2,"3, 1333","1, 16",1.762,Black / Green,13.503,9.0,2023-09-12
Crucial CT51264BF160B 4 GB,16.45,"3, 1600","1, 4",4.112,Black / Green,13.75,11.0,2023-09-12
